time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.84504e-319	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.312243	0.58034	3.84241e-16	-3.10082e-17	-1.21431e-17	radar	12388.3	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.17209	0.483257	7.81679	1.12757e-17	-1.38778e-17	lidar	0.0769869	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.41133	0.483257	7.81679	-2.81893e-18	1.38778e-17	radar	6143.08	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.64998	0.600146	8.08791	0.281632	0.0512208	lidar	0.155249	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.89518	0.671428	8.08791	0.284193	0.0512208	radar	3670.98	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.18431	0.655133	8.32714	0.121082	0.022405	lidar	0.0375434	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.55359	0.698632	8.32714	0.122202	0.022405	radar	3154	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.69776	0.67751	6.75713	0.0846326	0.00260944	lidar	0.541374	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	3.02679	0.70474	6.75713	0.0847631	0.00260944	radar	2014.04	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09682	0.661178	5.35156	0.0497193	-0.0585136	lidar	1.38607	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.35964	0.673489	5.35156	0.0467936	-0.0585136	radar	856.412	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.80288	0.436204	6.03448	-0.202843	-0.652407	lidar	3.1652	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.09156	0.371673	6.03448	-0.235463	-0.652407	radar	1227.33	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
